DATAFLOW,REF_AREA,FREQ,METHODOLOGY,MEASURE,UNIT_MEASURE,EXPENDITURE,ADJUSTMENT,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,BASE_PER,DURABILITY,DECIMALS
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2011-12,4.158119,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2012-01,3.345868,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2012-02,3.032894,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2012-03,2.662543,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2012-04,2.552477,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2012-05,2.538633,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2012-06,2.195829,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2012-07,1.476105,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2012-08,1.265613,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2012-09,2.087839,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2012-10,2.090704,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2012-11,1.631431,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2012-12,1.426072,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2013-01,1.628636,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2013-02,1.583177,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2013-03,1.460475,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2013-04,1.329622,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2013-05,1.148536,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2013-06,1.168716,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2013-07,1.615408,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2013-08,1.505634,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2013-09,0.9804134,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2013-10,0.860958,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2013-11,1.200943,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2013-12,1.143477,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2014-01,1.08058,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2014-02,1.01249,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2014-03,1.292065,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2014-04,1.498551,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2014-05,1.665535,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2014-06,1.658937,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2014-07,1.589728,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2014-08,1.408224,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2014-09,1.146448,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2014-10,1.149956,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2014-11,0.9654624,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2014-12,0.8334317,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2015-01,0.9740745,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2015-02,0.6458821,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2015-03,0.4705108,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2015-04,0.4362409,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2015-05,0.5520881,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2015-06,0.7013412,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2015-07,0.7352785,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2015-08,0.7001513,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2015-09,0.503757,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2015-10,0.8078128,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2015-11,0.8200819,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2015-12,1.131843,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2016-01,0.6223387,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2016-02,1.113261,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2016-03,0.8425303,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2016-04,1.001849,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2016-05,0.7798504,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2016-06,0.7396559,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2016-07,0.3691628,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2016-08,0.4873284,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2016-09,1.348904,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2016-10,1.487901,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2016-11,1.530817,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2016-12,1.337962,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2017-01,2.240843,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2017-02,2.082811,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2017-03,2.276897,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2017-04,1.955573,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2017-05,2.003555,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2017-06,1.806278,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2017-07,2.167011,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2017-08,2.488581,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2017-09,2.000062,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2017-10,1.761795,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2017-11,1.153403,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2017-12,1.407486,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2018-01,0.7600189,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2018-02,1.252663,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2018-03,1.2156,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2018-04,1.528088,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2018-05,1.469051,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2018-06,1.480408,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2018-07,1.118986,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2018-08,1.431806,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2018-09,2.087153,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2018-10,2.002508,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2018-11,2.037043,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2018-12,1.320395,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2019-01,0.7930198,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2019-02,0.4612817,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2019-03,0.3746797,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2019-04,0.555943,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2019-05,0.6799422,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2019-06,0.720801,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2019-07,0.6055381,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2019-08,-0.03720014,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2019-09,-0.4260584,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2019-11,0.1520185,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2019-12,0.7384734,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2020-01,1.219611,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2020-02,0.8548902,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2020-03,0.8262628,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2020-04,0.01909912,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2020-05,-0.2127403,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2020-06,0.2201204,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2020-07,0.4466311,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2020-08,0.7694242,A,0,,,1
