date,period,actual,prediction,response,lower_80,upper_80,lower_95,upper_95,actual_log,counterfactual_log,war_premium_usd_bbl,war_stage,model,horizon,specification,sample_start,sample_end
2026-03-02,2026-03,77.24,71.58543634915046,5.654563650849539,69.91187015844427,73.29906474657957,69.04183434211227,74.22274836884776,4.346917457560314,4.270891650332589,5.654563650849539,E2_disruption,AR3_plus_USD_counterfactual,1,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-03-03,2026-03,83.28,71.68223663443098,11.597763365569023,69.32378418532139,74.12092558563111,68.10687004322745,75.445297158029,4.422208424306714,4.272242971227177,11.597763365569023,E2_disruption,AR3_plus_USD_counterfactual,2,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-03-04,2026-03,81.56,71.64696428657687,9.913035713423128,68.77064935905557,74.64358035476485,67.29506183556282,76.2802997941415,4.401338945706255,4.271750784731481,9.913035713423128,E2_disruption,AR3_plus_USD_counterfactual,3,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-03-05,2026-03,88.59,71.7456303151722,16.844369684827797,68.43022088169445,75.22166965119838,66.73762467504598,77.12943777044626,4.484018984423941,4.273126951254456,16.844369684827797,E2_disruption,AR3_plus_USD_counterfactual,4,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-03-06,2026-03,95.74,71.72710168632628,24.012898313673716,68.03156535660754,75.62338290105073,66.15297629151645,77.77090925809733,4.561636183964363,4.272868663443379,24.012898313673716,E2_disruption,AR3_plus_USD_counterfactual,5,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-03-09,2026-03,94.35,71.74269609037579,22.607303909624207,67.70367319967156,76.02267645267126,65.65842197733102,78.39077284088641,4.547011271814559,4.273086052808285,22.607303909624207,E2_disruption,AR3_plus_USD_counterfactual,6,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-03-10,2026-03,89.84,71.57183215350025,18.26816784649975,67.22956934578674,76.19455557511824,65.03859497566457,78.76134408693031,4.498030310430188,4.270701590884914,18.26816784649975,E2_disruption,AR3_plus_USD_counterfactual,7,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-03-11,2026-03,90.98,71.69082731406321,19.28917268593679,67.0509630245458,76.65176589772997,64.71759066629576,79.41542118704783,4.510639702141858,4.2723628079580935,19.28917268593679,E2_disruption,AR3_plus_USD_counterfactual,8,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-03-12,2026-03,102.38,71.79762850152788,30.582371498472114,66.87885501323014,77.07816554909104,64.41292697217183,80.02895848329433,4.628691381029437,4.2738514462820705,30.582371498472114,E2_disruption,AR3_plus_USD_counterfactual,9,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-03-13,2026-03,103.23,71.97419049115881,31.255809508841196,66.78644354627758,77.56490421994245,64.19333803128713,80.6981574058791,4.636959508477498,4.276307589351403,31.255809508841196,E2_disruption,AR3_plus_USD_counterfactual,10,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-03-16,2026-03,101.04,71.88668481314377,29.153315186856233,66.46213057571745,77.75398424125062,63.758261896909424,81.05138533700794,4.6155164780422355,4.275091057217535,29.153315186856233,E2_disruption,AR3_plus_USD_counterfactual,11,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-03-17,2026-03,108.39,71.83677464977032,36.55322535022968,66.18468215276978,77.97154906886442,63.3749500876367,81.42842219119329,4.685735833827659,4.274396526685551,36.55322535022968,E2_disruption,AR3_plus_USD_counterfactual,12,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-03-18,2026-03,118.09,71.84246947678285,46.24753052321715,65.96881687581843,78.23909333160132,63.05645483210973,81.8526895345567,4.77144704561319,4.27447579807997,46.24753052321715,E2_disruption,AR3_plus_USD_counterfactual,13,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-03-19,2026-03,111.05,71.899987199067,39.150012800933,65.80940058250475,78.55425081322386,62.79695182419297,82.32259702188874,4.709980550340436,4.275276086688974,39.150012800933,E2_disruption,AR3_plus_USD_counterfactual,14,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
