draw,outcome,beta_fuel_lag0,beta_fuel_lag1,beta_fuel_lag2,beta_fuel_lag3,beta_fuel_lag4,beta_fuel_lag5,beta_fuel_lag6,phi_outcome_lag1,common_sample_start,common_sample_end,common_n,block_length
0,china_ppi_yoy_pct,11.892625262449378,4.728716781082269,-0.4818648267582557,2.4776712808108896,1.0667429902088919,1.1449309787841626,0.177568112828319,0.9556594275204855,2013-10,2026-06,114,6
0,china_cpi_yoy_pct,2.940438910850366,1.6137948862733202,-0.6778211404549147,1.5064291144005386,0.5849668316959613,0.4389951982542658,1.0740066989970463,0.888503919148876,2013-10,2026-06,114,6
0,china_iav_yoy_pct,-3.075634662329139,-8.668703059681949,-3.5796722300462003,4.466375867184083,3.132828705085415,-7.435941693921567,-7.4125223229148585,0.654213407604474,2013-10,2026-06,114,6
1,china_ppi_yoy_pct,14.371344269060858,2.6260514958745995,5.291131826527754,1.6827904309768034,-0.34723058481889935,2.121506347827496,0.6706545610203074,0.9118276853580579,2013-10,2026-06,114,6
1,china_cpi_yoy_pct,5.990475564301162,1.0874860779032536,0.38104867424568717,1.1678854151517746,1.265464658578007,-0.21299468801169869,1.8651538339996991,0.9177633699048322,2013-10,2026-06,114,6
1,china_iav_yoy_pct,1.4041373936590518,-16.121601465997475,-4.483868796916938,-3.3863841430455266,7.98609034554553,-3.937641217644024,-7.989298678448179,0.5625348481453871,2013-10,2026-06,114,6
2,china_ppi_yoy_pct,7.472911098294211,10.52370464548343,9.269290729094015,4.757267282326407,-0.06675676346878445,2.9763360064250275,6.126617939955816,0.8546985097999366,2013-10,2026-06,114,6
2,china_cpi_yoy_pct,1.2959818504071543,1.410169695876504,-0.12174455652505761,3.279940112846137,-0.11489677063695405,-0.9820748625600915,2.391967738879671,0.90338684093344,2013-10,2026-06,114,6
2,china_iav_yoy_pct,-0.9940194079060891,-7.267262576651606,-1.511605185358348,14.288900657345335,1.387222094200955,-4.433248845748518,-8.918447400826004,0.7581801436893905,2013-10,2026-06,114,6
3,china_ppi_yoy_pct,12.809845831559185,1.9888896926173651,1.3469003448210868,-0.5623945863682911,-1.4902554293079575,-1.2633706162859442,3.424636281327362,0.9125238093079112,2013-10,2026-06,114,6
3,china_cpi_yoy_pct,3.663429213294704,1.7051866127187156,0.0493201690826377,3.367193622052228,0.5260252990605241,0.943416927054916,2.1974238309973715,0.8933999516414567,2013-10,2026-06,114,6
3,china_iav_yoy_pct,0.6677292859472455,-12.339871466743462,-3.140496715911553,3.5870082388402156,5.938956629467157,-6.746460861667725,-7.785749058415361,0.5598703103343019,2013-10,2026-06,114,6
4,china_ppi_yoy_pct,9.08595327755579,6.559289886861675,3.7055203225484155,-0.1545099399523342,2.1495266039420584,2.1561459941133614,1.8428920631550365,0.9282246563112166,2013-10,2026-06,114,6
4,china_cpi_yoy_pct,1.1554884117733093,1.4793410176587785,-0.5442009286536726,0.2152396326074178,0.9389658015153957,-1.6758143638449716,2.7992988859123553,0.8937189526364202,2013-10,2026-06,114,6
4,china_iav_yoy_pct,-3.0660272611649253,-2.5775780606805485,0.529859419808421,3.269533783078818,-1.0541042126866023,2.7338616483516684,-5.557668892589934,0.5390785400521804,2013-10,2026-06,114,6
5,china_ppi_yoy_pct,11.636204945251723,7.852666911723698,7.956120692597815,2.060799417257484,-0.7120128760068221,8.347897420376148,-1.5421064377153635,0.8764139214893386,2013-10,2026-06,114,6
5,china_cpi_yoy_pct,3.247998303396299,0.8026370184515613,1.7183085521495527,-0.32393746600736506,0.2431640412717972,-0.339839917170189,1.8836684411653732,0.91093319295309,2013-10,2026-06,114,6
5,china_iav_yoy_pct,1.1514584930013974,-6.161332500978183,-3.6700643476345167,8.770915187600059,-3.0532109986216733,-0.4813612886619657,-1.814786244933178,0.5912557387104551,2013-10,2026-06,114,6
6,china_ppi_yoy_pct,14.86915745040902,1.5942283292688515,3.16352148139338,-0.1386493516630507,-2.355986715912969,0.8990197503798146,0.12212372383035208,0.9483642724787702,2013-10,2026-06,114,6
6,china_cpi_yoy_pct,3.29869058406288,1.8844232415677844,0.40393242765076565,1.9301171829147743,-0.25834166240972056,-0.22658584912155272,0.5221910320985781,0.9805792103908688,2013-10,2026-06,114,6
6,china_iav_yoy_pct,0.44905010803736045,-13.637272658446008,-6.070011880756203,2.770524544504717,9.52917121416625,-7.2041995410551944,-4.414102368206125,0.5536996053416516,2013-10,2026-06,114,6
7,china_ppi_yoy_pct,14.885376519052329,2.3336773017596357,3.830852232366954,0.00821306660020188,1.8376455981660031,1.3440136298872367,5.937117271770278,0.9451219515173434,2013-10,2026-06,114,6
7,china_cpi_yoy_pct,2.1298476153301755,1.7733460171680482,0.037605035340993034,1.2012467204841937,1.1709800343994978,0.8715512722643473,-0.060855265949089146,0.9488849372206482,2013-10,2026-06,114,6
7,china_iav_yoy_pct,-2.518457928623298,-6.849785107998844,-6.315656056809058,1.3395662536662338,-0.3367253422579476,-4.80155953166238,-5.943160951807192,0.5398412918767277,2013-10,2026-06,114,6
8,china_ppi_yoy_pct,14.595612349226524,1.4652244229791291,-0.42790687252103143,2.0714859378124304,-2.35169741955272,-0.5939834493374454,-2.4284246476530242,0.9748203055786882,2013-10,2026-06,114,6
8,china_cpi_yoy_pct,5.517525291251537,0.9219808500862576,0.31684822948832914,0.7598806794384336,-0.2706052023440586,0.7205364058625848,1.2331704581617857,0.9294783309087538,2013-10,2026-06,114,6
8,china_iav_yoy_pct,-2.288813597869318,-9.187084334259632,-2.81906111261847,-1.1037805475317675,6.637265619909451,-8.12938799340498,-9.21913050359524,0.6272030269953521,2013-10,2026-06,114,6
9,china_ppi_yoy_pct,12.69984559824746,8.308382985320995,9.244483886489457,1.0550722603821092,-0.17438195837098514,6.0390301730687845,6.429717893434106,0.8871648530086281,2013-10,2026-06,114,6
9,china_cpi_yoy_pct,2.3281797273014506,4.350868640923558,0.6980095426165901,1.5561663280775078,-0.6360135723904026,1.0077882354593608,1.3672155280326683,0.976651518332717,2013-10,2026-06,114,6
9,china_iav_yoy_pct,1.4731123770374783,-6.487314100196657,1.7239909490956884,3.3171304615590804,-1.2458306148402525,5.505951552232387,-7.143373111803751,0.5117617790291464,2013-10,2026-06,114,6
10,china_ppi_yoy_pct,12.245272639431638,2.149671170863936,5.258957164391395,0.7024285295798558,-5.1286117409229615,1.203704771107175,3.751423346082395,0.9190864310989557,2013-10,2026-06,114,6
10,china_cpi_yoy_pct,2.12353045177,0.2363725410981884,-0.03868788727685635,2.353112995931033,0.5530131395805538,0.6896240121308299,0.05543564032160864,0.9087899469252961,2013-10,2026-06,114,6
10,china_iav_yoy_pct,1.0308433331408113,-3.5870464948911565,-0.8429150837718486,9.812929265783627,-1.2020195745529074,2.0405116257476608,-3.0751635823305845,0.7381240762496918,2013-10,2026-06,114,6
