outcome,buffer,horizon,estimate,std_error,lower_80,upper_80,lower_95,upper_95,pvalue,shock,model,specification,sample_start,sample_end,countries,n,identification_note
fuel,oil_import_dependency,1,-0.29029262448842147,0.09711286371543643,-0.4147477670174584,-0.1658374819593845,-0.4806303398062235,-0.09995490917061944,0.002861825105462179,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-03,7,1240,continuous lagged annual buffer interaction
fuel,oil_import_dependency,2,-0.21942490646239846,0.10061494799942416,-0.34836815058824905,-0.09048166233654786,-0.41662658084764015,-0.022223232077156735,0.029416329445655087,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-03,7,1240,continuous lagged annual buffer interaction
fuel,oil_import_dependency,3,-0.31006416546628857,0.08338217404182457,-0.4169227211481012,-0.20320560978447594,-0.4734902235409153,-0.1466381073916618,0.00021090971892823163,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-03,7,1240,continuous lagged annual buffer interaction
fuel,oil_import_dependency,4,-0.28883038955911805,0.08317123795532888,-0.39541861976905224,-0.18224215934918384,-0.4518430205011734,-0.12581775861706268,0.0005362861464273116,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-02,7,1233,continuous lagged annual buffer interaction
fuel,oil_import_dependency,5,-0.23721296764020836,0.09924566107533678,-0.364401399964815,-0.11002453531560169,-0.43173088896973716,-0.04269504631067955,0.017018236622900584,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-01,7,1226,continuous lagged annual buffer interaction
fuel,oil_import_dependency,6,-0.34065266422131424,0.12559676988909496,-0.5016114013000288,-0.17969392714259966,-0.5868178097785051,-0.09448751866412339,0.006793256865126107,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-12,7,1219,continuous lagged annual buffer interaction
fuel,oil_import_dependency,7,-0.40222685450768475,0.12827624420765596,-0.5666194760941877,-0.23783423292118178,-0.6536436732267552,-0.15081003578861435,0.0017635315662873907,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-09,7,1212,continuous lagged annual buffer interaction
fuel,oil_import_dependency,8,-0.4439643075672886,0.10223509657147768,-0.5749838556320692,-0.312944759502508,-0.6443414148033593,-0.243587200331218,1.5475260302988403e-05,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-09,7,1212,continuous lagged annual buffer interaction
fuel,oil_import_dependency,9,-0.41807312583164763,0.10876399515333775,-0.557459794095293,-0.2786864575680023,-0.6312466391468786,-0.20489961251641664,0.00012854981999343984,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-09,7,1212,continuous lagged annual buffer interaction
fuel,oil_import_dependency,10,-0.42904390727454556,0.1291149128250467,-0.5945113259406387,-0.2635764886084524,-0.6821044862786658,-0.1759833282704253,0.0009222565050752696,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-08,7,1205,continuous lagged annual buffer interaction
