sample_split,scenario_id,strategy,month_index,period,fuel_price_cny_t,actual_adjustment_cny_t,fuel_log_return,cumulative_deferred_gap_cny_t,PPI_response_pctpt,CPI_response_pctpt,IAV_response_pctpt,PPI_lower_95,PPI_upper_95,CPI_lower_95,CPI_upper_95,IAV_lower_95,IAV_upper_95
war_2026,HOLDOUT_2026-01,full_mechanism,0,2026-01,9608.644673338487,104.64467333848694,0.010950417464580215,0.0,0.14005422016651556,0.03664411503572777,-0.010329517736898945,0.08617735043818871,0.19145957245136985,0.006730984338124258,0.06136840993155573,-0.06412058046859136,0.037374050055180096
war_2026,HOLDOUT_2026-01,full_mechanism,1,2026-02,10082.898581077718,474.25390773923,0.048177598868176456,0.0,0.7838128022464014,0.193990666116285,-0.13231945436426917,0.5304871179084127,1.038598637664848,0.055930319865524464,0.3366011619108061,-0.38986098083377974,0.10340487751623112
war_2026,HOLDOUT_2026-01,full_mechanism,2,2026-03,13581.435652954771,3498.537071877054,0.29786305577491273,0.0,4.745023090308595,1.1861137284347043,-0.7559065920327168,3.198930374430278,6.306144916109392,0.32450186796585173,2.03944400587898,-2.340715106495099,0.686547577615776
war_2026,HOLDOUT_2026-01,full_mechanism,3,2026-04,13844.7614956514,263.3258426966292,0.01920309499695654,0.0,5.884454516779898,1.1842335403265045,-2.8169478792778597,4.219995860018854,7.685009736258437,0.6067784386144073,2.581940649305402,-5.260972851282968,-0.44404774735851227
war_2026,HOLDOUT_2026-01,full_mechanism,4,2026-05,14217.911935490374,373.15043983897425,0.026595643888554645,0.0,7.122264111358317,1.5531829597244635,-2.795088512552918,4.3617580644063185,10.066037465915615,0.4992691102902502,2.9644389194601963,-5.332306945510837,0.008212262487336322
war_2026,HOLDOUT_2026-01,full_mechanism,5,2026-06,13232.610758565814,-985.3011769245608,-0.07181827870648082,0.0,6.521521321789433,0.9610471233397653,-0.9675058103478468,3.1784202747245156,9.425443632711577,0.4604781901774302,2.869922866968234,-4.089754229420103,1.8976046057378022
war_2026,HOLDOUT_2026-01,uniform_75_smoothing,0,2026-01,9582.483505003866,78.4835050038652,0.008224034284130523,26.161168334621735,0.10518418243068718,0.02752063648168876,-0.0077577232358097895,0.06472132106484613,0.14379087308388735,0.005055135673295682,0.04608919329990474,-0.04815614142545025,0.02806883573021791
war_2026,HOLDOUT_2026-01,uniform_75_smoothing,1,2026-02,9957.794812059254,375.3113070553888,0.03841884576679067,125.10376901846291,0.6172644572703242,0.15317519292515872,-0.10148466059287986,0.41612398598348244,0.8183875020366328,0.04268742834375105,0.26541274996831354,-0.30413342080072414,0.08589777757445742
war_2026,HOLDOUT_2026-01,uniform_75_smoothing,2,2026-03,12675.525442730892,2717.7306306716378,0.2413173609946019,905.9102102238794,3.8231537071022546,0.9564388516615492,-0.6020617936615859,2.570819665056046,5.085264694068781,0.2591047390307496,1.6451456381945595,-1.876535755997883,0.5657475900947658
war_2026,HOLDOUT_2026-01,uniform_75_smoothing,3,2026-04,13552.452482421273,876.9270396903814,0.06689452229491658,292.3090132301272,5.400548264858298,1.1269217888689582,-2.3237752786928456,3.9377132178622287,6.959218874169585,0.5563629489432653,2.3585238915376823,-4.382981716898866,-0.31987516324572285
war_2026,HOLDOUT_2026-01,uniform_75_smoothing,4,2026-05,14051.547072223098,499.09458980182615,0.03616497565915541,166.36486326727538,6.720242628664803,1.45645088022053,-2.68557498079218,4.30349322679075,9.32453777512275,0.5441446400333672,2.8073784866855918,-5.026163604676872,-0.1542562804727175
war_2026,HOLDOUT_2026-01,uniform_75_smoothing,5,2026-06,13232.610758565814,-818.9363136572854,-0.0600482067128953,0.0,6.389554574122698,1.0237501202219297,-1.3328863468450078,3.2934618683250267,9.186705306552568,0.4721735073491479,2.757875340927969,-4.07613765853543,1.3072903405586305
war_2026,HOLDOUT_2026-01,temporary_2026_approx,0,2026-01,9608.644673338487,104.64467333848694,0.010950417464580215,0.0,0.14005422016651556,0.03664411503572777,-0.010329517736898945,0.08617735043818871,0.19145957245136985,0.006730984338124258,0.06136840993155573,-0.06412058046859136,0.037374050055180096
war_2026,HOLDOUT_2026-01,temporary_2026_approx,1,2026-02,10082.898581077718,474.25390773923,0.048177598868176456,0.0,0.7838128022464014,0.193990666116285,-0.13231945436426917,0.5304871179084127,1.038598637664848,0.055930319865524464,0.3366011619108061,-0.38986098083377974,0.10340487751623112
war_2026,HOLDOUT_2026-01,temporary_2026_approx,2,2026-03,11922.394388099954,1839.4958070222362,0.1675777339970779,1659.0412648548179,3.078693089670787,0.750131234238826,-0.6330085795583291,2.1564377982908183,4.024031031468029,0.23916803984032003,1.313077402615924,-1.6225366160054213,0.27536198338700557
