outcome,country,reference_country,horizon,response,std_error,lower_80,upper_80,lower_95,upper_95,pvalue,shock,model,response_type,specification,sample_start,sample_end,n
cpi,ITA,CHN,2,0.19189431161287648,0.18875271172889058,-0.05000202160407188,0.4337906448298249,-0.17805420536002006,0.5618428285857731,0.30954759320620395,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-03,1298
cpi,ESP,CHN,2,0.3504338816476274,0.18005547337336705,0.11968350786111476,0.58118425543414,-0.00246836138348272,0.7033361246787375,0.05187985454224986,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-03,1298
cpi,JPN,CHN,2,-0.02358052067852352,0.1689435464069237,-0.2400903870649734,0.1929293457079264,-0.3547037870565652,0.30754274569951817,0.8890204316751149,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-03,1298
cpi,KOR,CHN,2,0.22651195015200745,0.13294991906130707,0.05612977323996146,0.39689412706405347,-0.03406510295566964,0.4870890032596845,0.0887138644365395,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-03,1298
cpi,DEU,CHN,3,0.1645570033040409,0.1739962105174486,-0.05842811268342321,0.38754211929150506,-0.1764693027566077,0.5055833093646895,0.3444846909882133,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-03,1298
cpi,FRA,CHN,3,0.16731047005793287,0.1285370544151889,0.002583606741656058,0.3320373333742097,-0.08461752727470251,0.41923846739056825,0.19330951482966485,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-03,1298
cpi,ITA,CHN,3,0.15235586177359292,0.18387035579739763,-0.0832834805558047,0.38799520410299054,-0.20802341341387195,0.5127351369610578,0.4075087987501944,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-03,1298
cpi,ESP,CHN,3,0.3386019283236348,0.16656055210203105,0.1251459920193039,0.5520578646279657,0.012149244958546745,0.6650546116887228,0.042303099974421166,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-03,1298
cpi,JPN,CHN,3,-0.03793372287393807,0.16124306988724796,-0.2445750315211581,0.16870758577328196,-0.353964332609619,0.27809688686174283,0.8140525162327827,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-03,1298
cpi,KOR,CHN,3,0.2245246128700681,0.12390652659356254,0.06573200973289439,0.38331721600724183,-0.018327716702768893,0.4673769424429051,0.07025280630292197,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-03,1298
