war_stage,stage_start,stage_end,trading_days,conditional_vol_pct_mean,conditional_vol_pct_median,conditional_vol_pct_p10,conditional_vol_pct_p90,abnormal_vol_ratio_mean,abnormal_vol_ratio_median,vol_multiple_vs_pre_median,model,evidence_status
prewar,2024-01-03,2026-02-27,535,1.8144982229330149,1.7432770990273125,1.5318217867909967,2.1890220286881195,0.040854734996198405,0.0,1.0,GJR_GARCH_1_1,DESCRIPTIVE_VOLATILITY
E1_immediate_window,2026-03-02,2026-03-04,3,2.5856410263806757,2.766675614059456,1.8582704766589961,3.2405977410308435,0.4832071320293101,0.5870544135543132,1.5870544135543132,GJR_GARCH_1_1,DESCRIPTIVE_VOLATILITY
E2_disruption,2026-03-05,2026-06-16,67,3.837073390433672,3.8587735566295382,2.703072577632119,5.01013103518279,1.2010691200926251,1.213517035692489,2.213517035692489,GJR_GARCH_1_1,DESCRIPTIVE_VOLATILITY
E3_easing,2026-06-17,2026-06-30,10,2.708457724121652,2.730444109015038,2.5527870948358684,2.876081625013551,0.553658753179788,0.5662708530608991,1.566270853060899,GJR_GARCH_1_1,DESCRIPTIVE_VOLATILITY
