scenario,shock_quantile_value,shock,outcome,outcome_label,horizon,conditional_response_pctpt,joint_lower_95,joint_upper_95,joint_ci95_contains_zero,row_evidence_status,source_q2_evidence_status,sample_start,sample_end,specification
severe_q90,1.0316273694396507,oil_specific_risk_shock,china_ppi_yoy_pct,PPI,3,0.6435471034682365,0.056404515516913126,1.2306896914195598,False,SUPPORTED_JOINT_95,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
severe_q90,1.0316273694396507,oil_specific_risk_shock,china_ppi_yoy_pct,PPI,6,0.6139870145688947,-0.20324901351676813,1.4312230426545576,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
severe_q90,1.0316273694396507,oil_specific_risk_shock,china_ppi_yoy_pct,PPI,12,0.34580712607017255,-0.6027127038689251,1.29432695600927,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
severe_q90,1.0316273694396507,oil_specific_risk_shock,china_cpi_yoy_pct,CPI,0,0.04908670102644776,-0.06614329533629933,0.16431669738919494,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
severe_q90,1.0316273694396507,oil_specific_risk_shock,china_cpi_yoy_pct,CPI,3,0.14286586198578913,-0.10513976171004041,0.3908714856816189,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
severe_q90,1.0316273694396507,oil_specific_risk_shock,china_cpi_yoy_pct,CPI,6,0.18738445431579528,-0.13442904392670135,0.509197952558292,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
severe_q90,1.0316273694396507,oil_specific_risk_shock,china_cpi_yoy_pct,CPI,12,0.1683050120209039,-0.1567565872278921,0.4933666112696999,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
extreme_q95,1.4708702330782006,oil_specific_risk_shock,china_iav_yoy_pct,工业增加值,0,0.17639648057730314,-1.085404979444747,1.4381979405993532,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
extreme_q95,1.4708702330782006,oil_specific_risk_shock,china_iav_yoy_pct,工业增加值,3,0.38698866094999945,-0.699691135805958,1.4736684577059571,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
extreme_q95,1.4708702330782006,oil_specific_risk_shock,china_iav_yoy_pct,工业增加值,6,-0.4353565743410719,-1.2393632671347758,0.36865011845263207,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
extreme_q95,1.4708702330782006,oil_specific_risk_shock,china_iav_yoy_pct,工业增加值,12,-0.6283913981347855,-1.4203607127360827,0.16357791646651132,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
extreme_q95,1.4708702330782006,oil_specific_risk_shock,china_ppi_yoy_pct,PPI,0,0.32060838631370275,0.051089669531126626,0.5901271030962789,False,SUPPORTED_JOINT_95,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
extreme_q95,1.4708702330782006,oil_specific_risk_shock,china_ppi_yoy_pct,PPI,3,0.9175544446724759,0.08042024217531997,1.7546886471696317,False,SUPPORTED_JOINT_95,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
extreme_q95,1.4708702330782006,oil_specific_risk_shock,china_ppi_yoy_pct,PPI,6,0.8754083596255042,-0.2897877011994219,2.0406044204504306,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
extreme_q95,1.4708702330782006,oil_specific_risk_shock,china_ppi_yoy_pct,PPI,12,0.49304373186532857,-0.8593337104854104,1.8454211742160673,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
extreme_q95,1.4708702330782006,oil_specific_risk_shock,china_cpi_yoy_pct,CPI,0,0.06998667301646731,-0.09430556721338917,0.23427891324632394,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
extreme_q95,1.4708702330782006,oil_specific_risk_shock,china_cpi_yoy_pct,CPI,3,0.20369481262608993,-0.14990581909069864,0.5572954443428788,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
extreme_q95,1.4708702330782006,oil_specific_risk_shock,china_cpi_yoy_pct,CPI,6,0.2671683828477843,-0.19166579428805447,0.7260025599836233,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
extreme_q95,1.4708702330782006,oil_specific_risk_shock,china_cpi_yoy_pct,CPI,12,0.23996535919154674,-0.22349988457331343,0.7034306029564069,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
