rule_id,rho_normal,rho_stress,rho_extreme,J1_macro_loss,J2_cvar95_macro_loss,J3_avg_gap_month_burden,J4_adjustment_volatility,scenario_count,max_gap_ratio,max_terminal_gap_ratio,max_recovery_terminal_gap_ratio,max_monthly_adjustment_ratio,sample_split,is_feasible,is_pareto,is_knee,is_pareto_exact,knee_score,base_price_2026_06_cny_t,stress_threshold_75_cny_t,stress_threshold_95_cny_t,threshold_quantile_low,threshold_quantile_high
R0001,0.0,0.0,0.0,0.0052731934028719535,0.06067726707271076,0.042933993474676344,0.028573033904970072,101,0.2,0.2,0.2,0.13678291781872254,development,False,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0002,0.05,0.0,0.0,0.026789056724008747,0.11794472330004929,0.0396565694045565,0.02926425607511224,101,0.2,0.2,0.147018378125,0.13678291781872254,development,False,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0003,0.05,0.05,0.0,0.03499175122586445,0.15429449230394118,0.03846101299532883,0.029428733368587635,101,0.2,0.2,0.147018378125,0.13678291781872254,development,False,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0004,0.05,0.05,0.05,0.03675412303525456,0.16736338602408862,0.03806795427197066,0.029482918397341847,101,0.2,0.2,0.147018378125,0.13678291781872254,development,False,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0005,0.1,0.0,0.0,0.046973548196486914,0.19199192648405225,0.03663615214371811,0.030038503851054645,101,0.2,0.2,0.10628820000000004,0.13678291781872254,development,False,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0006,0.1,0.05,0.0,0.05473614761374465,0.22619590820762306,0.035520178970233386,0.03015956036864505,101,0.2,0.2,0.10628820000000004,0.13678291781872254,development,False,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0007,0.1,0.05,0.05,0.05638627625665372,0.2377684738593744,0.03515342656500367,0.030197895733686232,101,0.2,0.2,0.10628820000000004,0.13678291781872254,development,False,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0008,0.1,0.1,0.0,0.06381046271623612,0.2780153969966631,0.03427870827178293,0.030402520775715845,101,0.18572678142628993,0.18572678142628993,0.09870282644796896,0.13678291781872254,development,False,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0009,0.1,0.1,0.05,0.06545868370730593,0.28936594588794645,0.033917143572924954,0.03043727881339317,101,0.18572678142628993,0.18572678142628993,0.09870282644796896,0.13678291781872254,development,False,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0010,0.1,0.1,0.1,0.0672066864277298,0.30067034672875365,0.03355557887406698,0.03049950600702687,101,0.18572678142628993,0.18572678142628993,0.09870282644796896,0.13678291781872254,development,False,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0011,0.15,0.0,0.0,0.06582864385893691,0.26274558929363584,0.033871207336601095,0.030840253864146856,101,0.2,0.2,0.07542990312499999,0.13678291781872254,development,False,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0012,0.15,0.05,0.0,0.0735160754241293,0.2985935733342048,0.03278330959674719,0.030935909061566923,101,0.19595831051958412,0.19595831051958412,0.07390558189515448,0.13678291781872254,development,False,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0013,0.15,0.05,0.05,0.07511678129891614,0.3088667422342695,0.0324407524872988,0.030958169384221586,101,0.19595831051958412,0.19595831051958412,0.07390558189515448,0.13678291781872254,development,False,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0014,0.15,0.1,0.0,0.08192939793385146,0.342274819425803,0.03163778581676344,0.031126737965384732,101,0.1783015779197015,0.1783015779197015,0.0672463537475886,0.13678291781872254,development,False,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0015,0.15,0.1,0.05,0.08352491684428993,0.3523561445733155,0.03129972816684794,0.031146516316821967,101,0.1783015779197015,0.1783015779197015,0.0672463537475886,0.13678291781872254,development,False,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0016,0.15,0.1,0.1,0.08516280003952045,0.3623996655784074,0.03096167051693244,0.031193464573077766,101,0.1783015779197015,0.1783015779197015,0.0672463537475886,0.13678291781872254,development,False,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0017,0.15,0.15,0.0,0.09002170089037446,0.38964750718924274,0.030545431293666853,0.03138813453603745,101,0.16172959479474625,0.16172959479474625,0.06099623833906605,0.13678291781872254,development,False,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0018,0.15,0.15,0.05,0.09158301874528153,0.39953873513072163,0.03021088993333877,0.03140491001439014,101,0.16172959479474625,0.16172959479474625,0.06099623833906605,0.13678291781872254,development,False,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0019,0.15,0.15,0.1,0.0932002283886294,0.4093933105347021,0.029876348573010688,0.031448619465023135,101,0.16172959479474625,0.16172959479474625,0.06099623833906605,0.13678291781872254,development,False,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0020,0.15,0.15,0.15,0.09486007571650917,0.41921152440508486,0.029541807212682607,0.03151866837245883,101,0.16172959479474625,0.16172959479474625,0.06099623833906605,0.13678291781872254,development,False,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
