outcome,outcome_label,row_term,column_term,covariance,model,sample_start,sample_end,n
china_ppi_yoy_pct,PPI,fuel_log_return_lag2,fuel_log_return_lag6,0.1187441709111953,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag2,china_ppi_yoy_pct_lag1,-0.002828716277892034,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag2,GPR,-0.0009176956833639072,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag3,const,0.17571724296484414,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag3,fuel_log_return_lag0,1.624269946620172,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag3,fuel_log_return_lag1,0.37208057874823264,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag3,fuel_log_return_lag2,0.8096657952777065,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag3,fuel_log_return_lag3,2.0288628521176055,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag3,fuel_log_return_lag4,0.5804524700272992,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag3,fuel_log_return_lag5,0.10560423213619607,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag3,fuel_log_return_lag6,0.19496833917038064,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag3,china_ppi_yoy_pct_lag1,-0.004369214603411858,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag3,GPR,-0.0011456026024530002,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag4,const,0.0824887497953479,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag4,fuel_log_return_lag0,0.33002954353847835,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag4,fuel_log_return_lag1,0.47036158012234053,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag4,fuel_log_return_lag2,0.9831670417022622,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag4,fuel_log_return_lag3,0.5804524700272989,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag4,fuel_log_return_lag4,4.226125194759535,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag4,fuel_log_return_lag5,0.5681601425139933,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag4,fuel_log_return_lag6,1.493838222271691,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag4,china_ppi_yoy_pct_lag1,-0.0023705707591241366,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag4,GPR,-0.00012508477320619598,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag5,const,0.15222271892733574,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag5,fuel_log_return_lag0,1.1210799958458413,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag5,fuel_log_return_lag1,0.10823840857659689,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag5,fuel_log_return_lag2,0.8816384327873944,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag5,fuel_log_return_lag3,0.10560423213619569,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag5,fuel_log_return_lag4,0.5681601425139948,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag5,fuel_log_return_lag5,2.0722006143949714,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag5,fuel_log_return_lag6,0.0038888270324146596,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag5,china_ppi_yoy_pct_lag1,-0.0070070798141849844,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag5,GPR,-0.0010504913274850378,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag6,const,-0.058791222394436425,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag6,fuel_log_return_lag0,-0.3065632314659085,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag6,fuel_log_return_lag1,0.2840173398143271,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag6,fuel_log_return_lag2,0.11874417091119409,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag6,fuel_log_return_lag3,0.1949683391703815,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag6,fuel_log_return_lag4,1.4938382222716886,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag6,fuel_log_return_lag5,0.003888827032414652,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag6,fuel_log_return_lag6,3.3641656943240283,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag6,china_ppi_yoy_pct_lag1,-0.0008800808802495426,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,fuel_log_return_lag6,GPR,0.0008502996475494213,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,china_ppi_yoy_pct_lag1,const,-0.00022919797522334424,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,china_ppi_yoy_pct_lag1,fuel_log_return_lag0,-0.005274647123130758,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,china_ppi_yoy_pct_lag1,fuel_log_return_lag1,-0.010486643923852313,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,china_ppi_yoy_pct_lag1,fuel_log_return_lag2,-0.002828716277892004,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,china_ppi_yoy_pct_lag1,fuel_log_return_lag3,-0.004369214603411882,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,china_ppi_yoy_pct_lag1,fuel_log_return_lag4,-0.0023705707591241115,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,china_ppi_yoy_pct_lag1,fuel_log_return_lag5,-0.007007079814184987,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,china_ppi_yoy_pct_lag1,fuel_log_return_lag6,-0.0008800808802495459,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,china_ppi_yoy_pct_lag1,china_ppi_yoy_pct_lag1,0.00046965823097326446,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,china_ppi_yoy_pct_lag1,GPR,5.1155109201905885e-06,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,GPR,const,-0.0005746720964730818,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,GPR,fuel_log_return_lag0,-0.002758891010602131,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,GPR,fuel_log_return_lag1,-3.6965261882036286e-06,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,GPR,fuel_log_return_lag2,-0.0009176956833639121,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,GPR,fuel_log_return_lag3,-0.0011456026024529973,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,GPR,fuel_log_return_lag4,-0.00012508477320619774,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,GPR,fuel_log_return_lag5,-0.0010504913274850367,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,GPR,fuel_log_return_lag6,0.0008502996475494171,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,GPR,china_ppi_yoy_pct_lag1,5.115510920190625e-06,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_ppi_yoy_pct,PPI,GPR,GPR,4.809623869258379e-06,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,const,const,0.026547127264516617,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,const,fuel_log_return_lag0,-0.029209022731897797,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,const,fuel_log_return_lag1,-0.02773872793963938,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,const,fuel_log_return_lag2,0.0067341104898291405,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,const,fuel_log_return_lag3,-0.022802875523084253,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,const,fuel_log_return_lag4,0.05457909891172478,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,const,fuel_log_return_lag5,-0.03792392452381285,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,const,fuel_log_return_lag6,-0.02842195814747835,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,const,china_cpi_yoy_pct_lag1,-0.005567082295697358,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,const,GPR,-0.000151352593262135,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag0,const,-0.02920902273189781,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag0,fuel_log_return_lag0,0.7169015677108093,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag0,fuel_log_return_lag1,-0.34385638204252617,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag0,fuel_log_return_lag2,0.22441896815597273,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag0,fuel_log_return_lag3,-0.38754588450149796,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag0,fuel_log_return_lag4,0.40265252261293105,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag0,fuel_log_return_lag5,-0.36420522094163643,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag0,fuel_log_return_lag6,0.461202653863825,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag0,china_cpi_yoy_pct_lag1,0.01296678115117902,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag0,GPR,7.135586621082454e-05,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag1,const,-0.02773872793963943,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag1,fuel_log_return_lag0,-0.3438563820425258,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag1,fuel_log_return_lag1,1.6331788892889854,China_fuel_to_macro_ARDL,2013-10,2026-06,153
