quarter,china_real_gdp_yoy_pct,china_real_gdp_qoq_pct,quarter_end,source_note
2019-Q2,6.1,1.7,2019-06-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2019-Q3,6.0,1.3,2019-09-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2019-Q4,5.9,0.9,2019-12-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2020-Q1,-6.8,-10.5,2020-03-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2020-Q2,3.2,12.9,2020-06-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2020-Q3,4.9,3.0,2020-09-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2020-Q4,6.5,2.3,2020-12-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2021-Q1,18.9,0.0,2021-03-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2021-Q2,8.1,2.8,2021-06-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2021-Q3,5.5,0.3,2021-09-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2021-Q4,4.5,1.4,2021-12-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2022-Q1,4.8,0.1,2022-03-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2022-Q2,0.8,-0.7,2022-06-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2022-Q3,4.0,3.2,2022-09-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2022-Q4,3.0,0.5,2022-12-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2023-Q1,4.7,1.6,2023-03-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2023-Q2,6.5,1.3,2023-06-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2023-Q3,5.0,1.6,2023-09-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2023-Q4,5.3,0.9,2023-12-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2024-Q1,5.3,1.3,2024-03-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2024-Q2,4.7,1.0,2024-06-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2024-Q3,4.6,1.4,2024-09-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2024-Q4,5.4,1.6,2024-12-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2025-Q1,5.4,1.1,2025-03-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2025-Q2,5.2,1.2,2025-06-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2025-Q3,4.8,1.1,2025-09-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2025-Q4,4.5,1.1,2025-12-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2026-Q1,5.0,1.3,2026-03-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2026-Q2,4.3,0.9,2026-06-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
